title,text,subject,date,label
ISRO successfully tests reusable launch technology,ISRO successfully tests reusable launch technology. Officials and verified reports confirmed developments related to technology and current affairs.,technology,2025-09-08,1
India increases renewable energy investments,India increases renewable energy investments. Officials and verified reports confirmed developments related to technology and current affairs.,technology,2024-10-29,1
Government announces digital education expansion,Government announces digital education expansion. Officials and verified reports confirmed developments related to cybersecurity and current affairs.,cybersecurity,2025-11-16,1
India launches cybersecurity awareness campaign,India launches cybersecurity awareness campaign. Officials and verified reports confirmed developments related to technology and current affairs.,technology,2024-05-08,1
Ukraine receives additional humanitarian assistance,Ukraine receives additional humanitarian assistance. Officials and verified reports confirmed developments related to cybersecurity and current affairs.,cybersecurity,2025-02-09,1
India signs technology cooperation agreement with Japan,India signs technology cooperation agreement with Japan. Officials and verified reports confirmed developments related to world affairs and current affairs.,world affairs,2025-02-13,1
New AI regulations discussed at global summit,New AI regulations discussed at global summit. Officials and verified reports confirmed developments related to india and current affairs.,india,2024-06-26,1
India launches cybersecurity awareness campaign,India launches cybersecurity awareness campaign. Officials and verified reports confirmed developments related to war and current affairs.,war,2026-03-06,1
Global leaders discuss ceasefire efforts in conflict zones,Global leaders discuss ceasefire efforts in conflict zones. Officials and verified reports confirmed developments related to technology and current affairs.,technology,2025-10-02,1
India signs technology cooperation agreement with Japan,India signs technology cooperation agreement with Japan. Officials and verified reports confirmed developments related to technology and current affairs.,technology,2025-02-10,1
India expands semiconductor manufacturing initiative,India expands semiconductor manufacturing initiative. Officials and verified reports confirmed developments related to technology and current affairs.,technology,2025-12-07,1
Indian Railways adopts AI-based safety monitoring,Indian Railways adopts AI-based safety monitoring. Officials and verified reports confirmed developments related to cybersecurity and current affairs.,cybersecurity,2025-04-24,1
India expands semiconductor manufacturing initiative,India expands semiconductor manufacturing initiative. Officials and verified reports confirmed developments related to war and current affairs.,war,2026-01-10,1
India increases renewable energy investments,India increases renewable energy investments. Officials and verified reports confirmed developments related to world affairs and current affairs.,world affairs,2024-02-19,1
India expands semiconductor manufacturing initiative,India expands semiconductor manufacturing initiative. Officials and verified reports confirmed developments related to world affairs and current affairs.,world affairs,2025-08-09,1
India increases renewable energy investments,India increases renewable energy investments. Officials and verified reports confirmed developments related to war and current affairs.,war,2024-07-18,1
ISRO successfully tests reusable launch technology,ISRO successfully tests reusable launch technology. Officials and verified reports confirmed developments related to technology and current affairs.,technology,2025-03-23,1
India expands semiconductor manufacturing initiative,India expands semiconductor manufacturing initiative. Officials and verified reports confirmed developments related to india and current affairs.,india,2026-02-02,1
Ukraine receives additional humanitarian assistance,Ukraine receives additional humanitarian assistance. Officials and verified reports confirmed developments related to cybersecurity and current affairs.,cybersecurity,2024-01-04,1
India increases renewable energy investments,India increases renewable energy investments. Officials and verified reports confirmed developments related to cybersecurity and current affairs.,cybersecurity,2025-08-14,1
ISRO successfully tests reusable launch technology,ISRO successfully tests reusable launch technology. Officials and verified reports confirmed developments related to world affairs and current affairs.,world affairs,2024-02-19,1
ISRO successfully tests reusable launch technology,ISRO successfully tests reusable launch technology. Officials and verified reports confirmed developments related to world affairs and current affairs.,world affairs,2025-10-18,1
