title,text,subject,date,label
Government secretly shuts down internet every midnight,Government secretly shuts down internet every midnight. Unverified online sources and misleading claims spread misinformation regarding technology.,technology,2024-02-24,0
AI predicts end of all human jobs within weeks,AI predicts end of all human jobs within weeks. Unverified online sources and misleading claims spread misinformation regarding india.,india,2024-01-30,0
Hidden satellites controlling weather discovered,Hidden satellites controlling weather discovered. Unverified online sources and misleading claims spread misinformation regarding war.,war,2026-03-27,0
India develops invisible AI fighter jets overnight,India develops invisible AI fighter jets overnight. Unverified online sources and misleading claims spread misinformation regarding world affairs.,world affairs,2024-01-22,0
India to replace all teachers with robots next month,India to replace all teachers with robots next month. Unverified online sources and misleading claims spread misinformation regarding cybersecurity.,cybersecurity,2024-11-01,0
AI predicts end of all human jobs within weeks,AI predicts end of all human jobs within weeks. Unverified online sources and misleading claims spread misinformation regarding india.,india,2025-11-14,0
India develops invisible AI fighter jets overnight,India develops invisible AI fighter jets overnight. Unverified online sources and misleading claims spread misinformation regarding war.,war,2024-12-12,0
India develops invisible AI fighter jets overnight,India develops invisible AI fighter jets overnight. Unverified online sources and misleading claims spread misinformation regarding world affairs.,world affairs,2025-09-01,0
Government secretly shuts down internet every midnight,Government secretly shuts down internet every midnight. Unverified online sources and misleading claims spread misinformation regarding war.,war,2024-09-16,0
India to replace all teachers with robots next month,India to replace all teachers with robots next month. Unverified online sources and misleading claims spread misinformation regarding cybersecurity.,cybersecurity,2024-04-18,0
Government secretly shuts down internet every midnight,Government secretly shuts down internet every midnight. Unverified online sources and misleading claims spread misinformation regarding india.,india,2025-12-31,0
India to replace all teachers with robots next month,India to replace all teachers with robots next month. Unverified online sources and misleading claims spread misinformation regarding india.,india,2025-04-11,0
AI system takes control of global banking network,AI system takes control of global banking network. Unverified online sources and misleading claims spread misinformation regarding war.,war,2024-06-02,0
Aliens helping countries build military robots,Aliens helping countries build military robots. Unverified online sources and misleading claims spread misinformation regarding war.,war,2024-08-19,0
India to replace all teachers with robots next month,India to replace all teachers with robots next month. Unverified online sources and misleading claims spread misinformation regarding technology.,technology,2025-04-30,0
India develops invisible AI fighter jets overnight,India develops invisible AI fighter jets overnight. Unverified online sources and misleading claims spread misinformation regarding technology.,technology,2025-05-28,0
Aliens helping countries build military robots,Aliens helping countries build military robots. Unverified online sources and misleading claims spread misinformation regarding cybersecurity.,cybersecurity,2026-03-23,0
Hidden satellites controlling weather discovered,Hidden satellites controlling weather discovered. Unverified online sources and misleading claims spread misinformation regarding war.,war,2025-01-03,0
Scientists confirm teleportation device in war zone,Scientists confirm teleportation device in war zone. Unverified online sources and misleading claims spread misinformation regarding india.,india,2026-03-14,0
AI predicts end of all human jobs within weeks,AI predicts end of all human jobs within weeks. Unverified online sources and misleading claims spread misinformation regarding technology.,technology,2026-02-09,0
Scientists confirm teleportation device in war zone,Scientists confirm teleportation device in war zone. Unverified online sources and misleading claims spread misinformation regarding cybersecurity.,cybersecurity,2024-01-02,0
India to replace all teachers with robots next month,India to replace all teachers with robots next month. Unverified online sources and misleading claims spread misinformation regarding world affairs.,world affairs,2024-07-15,0
India develops invisible AI fighter jets overnight,India develops invisible AI fighter jets overnight. Unverified online sources and misleading claims spread misinformation regarding cybersecurity.,cybersecurity,2025-09-23,0
Scientists confirm teleportation device in war zone,Scientists confirm teleportation device in war zone. Unverified online sources and misleading claims spread misinformation regarding technology.,technology,2024-09-11,0
Scientists confirm teleportation device in war zone,Scientists confirm teleportation device in war zone. Unverified online sources and misleading claims spread misinformation regarding cybersecurity.,cybersecurity,2025-05-25,0
Hidden satellites controlling weather discovered,Hidden satellites controlling weather discovered. Unverified online sources and misleading claims spread misinformation regarding war.,war,2026-04-21,0
AI predicts end of all human jobs within weeks,AI predicts end of all human jobs within weeks. Unverified online sources and misleading claims spread misinformation regarding world affairs.,world affairs,2026-04-24,0
Scientists confirm teleportation device in war zone,Scientists confirm teleportation device in war zone. Unverified online sources and misleading claims spread misinformation regarding war.,war,2026-04-13,0
India develops invisible AI fighter jets overnight,India develops invisible AI fighter jets overnight. Unverified online sources and misleading claims spread misinformation regarding technology.,technology,2025-11-20,0
Scientists confirm teleportation device in war zone,Scientists confirm teleportation device in war zone. Unverified online sources and misleading claims spread misinformation regarding world affairs.,world affairs,2026-03-22,0
Aliens helping countries build military robots,Aliens helping countries build military robots. Unverified online sources and misleading claims spread misinformation regarding cybersecurity.,cybersecurity,2024-04-25,0
Scientists confirm teleportation device in war zone,Scientists confirm teleportation device in war zone. Unverified online sources and misleading claims spread misinformation regarding cybersecurity.,cybersecurity,2024-06-29,0
Hidden satellites controlling weather discovered,Hidden satellites controlling weather discovered. Unverified online sources and misleading claims spread misinformation regarding cybersecurity.,cybersecurity,2025-12-04,0
Hidden satellites controlling weather discovered,Hidden satellites controlling weather discovered. Unverified online sources and misleading claims spread misinformation regarding india.,india,2024-03-08,0
India develops invisible AI fighter jets overnight,India develops invisible AI fighter jets overnight. Unverified online sources and misleading claims spread misinformation regarding war.,war,2025-11-08,0
Government secretly shuts down internet every midnight,Government secretly shuts down internet every midnight. Unverified online sources and misleading claims spread misinformation regarding cybersecurity.,cybersecurity,2025-09-04,0
Aliens helping countries build military robots,Aliens helping countries build military robots. Unverified online sources and misleading claims spread misinformation regarding war.,war,2025-05-03,0
Underground military city discovered beneath the Himalayas,Underground military city discovered beneath the Himalayas. Unverified online sources and misleading claims spread misinformation regarding technology.,technology,2024-02-07,0
Scientists confirm teleportation device in war zone,Scientists confirm teleportation device in war zone. Unverified online sources and misleading claims spread misinformation regarding technology.,technology,2025-03-31,0
AI predicts end of all human jobs within weeks,AI predicts end of all human jobs within weeks. Unverified online sources and misleading claims spread misinformation regarding war.,war,2025-05-19,0
India to replace all teachers with robots next month,India to replace all teachers with robots next month. Unverified online sources and misleading claims spread misinformation regarding war.,war,2025-05-23,0
India to replace all teachers with robots next month,India to replace all teachers with robots next month. Unverified online sources and misleading claims spread misinformation regarding india.,india,2024-03-28,0
Aliens helping countries build military robots,Aliens helping countries build military robots. Unverified online sources and misleading claims spread misinformation regarding war.,war,2024-03-10,0
AI predicts end of all human jobs within weeks,AI predicts end of all human jobs within weeks. Unverified online sources and misleading claims spread misinformation regarding cybersecurity.,cybersecurity,2024-07-18,0
Scientists confirm teleportation device in war zone,Scientists confirm teleportation device in war zone. Unverified online sources and misleading claims spread misinformation regarding india.,india,2025-11-17,0
India to replace all teachers with robots next month,India to replace all teachers with robots next month. Unverified online sources and misleading claims spread misinformation regarding india.,india,2024-06-25,0
Aliens helping countries build military robots,Aliens helping countries build military robots. Unverified online sources and misleading claims spread misinformation regarding world affairs.,world affairs,2026-01-04,0
Aliens helping countries build military robots,Aliens helping countries build military robots. Unverified online sources and misleading claims spread misinformation regarding world affairs.,world affairs,2024-11-08,0
Underground military city discovered beneath the Himalayas,Underground military city discovered beneath the Himalayas. Unverified online sources and misleading claims spread misinformation regarding india.,india,2025-08-15,0
